date,icase,490.000000,665.000000,865.000000,3.000000,4.000000,5.000000
1970-01-01 00:00:00,80,0.052353,0.041447,0.005558,0.0,0.0,0.0
1970-01-01 00:00:00,81,0.042403,0.038878,0.006669,0.0,0.0,0.0
1970-01-01 00:00:00,82,0.059289,0.077788,0.022226,0.0,0.0,0.0
1970-01-01 00:00:00,83,0.057053,0.052813,0.008897,0.0,0.0,0.0
1970-01-01 00:00:00,84,0.060776,0.055791,0.008237,0.0,0.0,0.0
1970-01-01 00:00:00,85,0.060399,0.048272,0.007991,0.0,0.0,0.0
1970-01-01 00:00:00,86,0.06282,0.049913,0.006884,0.0,0.0,0.0
1970-01-01 00:00:00,87,0.055936,0.047039,0.006601,0.0,0.0,0.0
1970-01-01 00:00:00,88,0.054003,0.047757,0.007363,0.0,0.0,0.0
1970-01-01 00:00:00,89,0.05407,0.048283,0.006903,0.0,0.0,0.0
1970-01-01 00:00:00,90,0.042372,0.026687,0.004327,0.0,0.0,0.0
1970-01-01 00:00:00,91,0.041015,0.025789,0.003847,0.0,0.0,0.0
1970-01-01 00:00:00,92,0.046211,0.032559,0.006076,0.0,0.0,0.0
1970-01-01 00:00:00,93,0.054101,0.041303,0.005691,0.0,0.0,0.0
1970-01-01 00:00:00,94,0.062501,0.062278,0.010236,0.0,0.0,0.0
1970-01-01 00:00:00,95,0.060991,0.058033,0.010364,0.0,0.0,0.0
1970-01-01 00:00:00,96,0.047837,0.035314,0.005503,0.0,0.0,0.0
1970-01-01 00:00:00,97,0.055979,0.052683,0.008779,0.0,0.0,0.0
1970-01-01 00:00:00,98,0.058987,0.056422,0.011857,0.0,0.0,0.0
1970-01-01 00:00:00,99,0.058497,0.056853,0.011777,0.0,0.0,0.0
1970-01-01 00:00:00,100,0.058507,0.061398,0.008986,0.0,0.0,0.0
1970-01-01 00:00:00,101,0.060162,0.058183,0.009495,0.0,0.0,0.0
1970-01-01 00:00:00,102,0.044828,0.036207,0.005321,0.0,0.0,0.0
1970-01-01 00:00:00,103,0.032906,0.024455,0.004069,0.0,0.0,0.0
1970-01-01 00:00:00,104,0.028101,0.020859,0.003503,0.0,0.0,0.0
1970-01-01 00:00:00,105,0.026045,0.022748,0.004881,0.0,0.0,0.0
1970-01-01 00:00:00,106,0.030273,0.025857,0.004702,0.0,0.0,0.0
1970-01-01 00:00:00,107,0.048359,0.048149,0.009375,0.0,0.0,0.0
1970-01-01 00:00:00,108,0.052897,0.051102,0.010256,0.0,0.0,0.0
1970-01-01 00:00:00,109,0.057882,0.057581,0.010977,0.0,0.0,0.0
1970-01-01 00:00:00,110,0.062809,0.069579,0.015592,0.0,0.0,0.0
1970-01-01 00:00:00,111,0.07425,0.081133,0.017241,0.0,0.0,0.0
1970-01-01 00:00:00,112,0.06177,0.061553,0.012874,0.0,0.0,0.0
1970-01-01 00:00:00,113,0.058155,0.054747,0.009014,0.0,0.0,0.0
1970-01-01 00:00:00,114,0.043369,0.033454,0.004125,0.0,0.0,0.0
1970-01-01 00:00:00,115,0.052218,0.050811,0.008565,0.0,0.0,0.0
1970-01-01 00:00:00,116,0.052283,0.049636,0.00857,0.0,0.0,0.0
1970-01-01 00:00:00,117,0.056089,0.049408,0.010552,0.0,0.0,0.0
1970-01-01 00:00:00,118,0.069696,0.082815,0.021479,0.0,0.0,0.0
1970-01-01 00:00:00,119,0.093587,0.101378,0.021359,0.0,0.0,0.0
1970-01-01 00:00:00,120,0.077318,0.060502,0.00575,0.0,0.0,0.0
1970-01-01 00:00:00,121,0.073595,0.054529,0.005081,0.0,0.0,0.0
1970-01-01 00:00:00,122,0.077654,0.069154,0.007807,0.0,0.0,0.0
1970-01-01 00:00:00,123,0.084778,0.094021,0.020815,0.0,0.0,0.0
1970-01-01 00:00:00,124,0.087017,0.093229,0.017149,0.0,0.0,0.0
1970-01-01 00:00:00,125,0.079465,0.085444,0.018285,0.0,0.0,0.0
1970-01-01 00:00:00,126,0.087383,0.09505,0.018993,0.0,0.0,0.0
1970-01-01 00:00:00,127,0.095403,0.110013,0.024561,0.0,0.0,0.0
1970-01-01 00:00:00,128,0.092332,0.085608,0.012368,0.0,0.0,0.0
1970-01-01 00:00:00,129,0.084211,0.071161,0.00912,0.0,0.0,0.0
1970-01-01 00:00:00,130,0.100434,0.086678,0.012319,0.0,0.0,0.0
1970-01-01 00:00:00,131,0.074278,0.05767,0.006425,0.0,0.0,0.0
1970-01-01 00:00:00,132,0.080923,0.08852,0.023089,0.0,0.0,0.0
1970-01-01 00:00:00,133,0.080523,0.082767,0.0186,0.0,0.0,0.0
1970-01-01 00:00:00,134,0.077119,0.076802,0.013863,0.0,0.0,0.0
1970-01-01 00:00:00,135,0.10116,0.084007,0.009454,0.0,0.0,0.0
1970-01-01 00:00:00,136,0.064037,0.038649,0.005781,0.0,0.0,0.0
1970-01-01 00:00:00,137,0.037635,0.015792,0.002179,0.0,0.0,0.0
1970-01-01 00:00:00,138,0.0601,0.03114,0.004659,0.0,0.0,0.0
1970-01-01 00:00:00,139,0.055135,0.032681,0.005018,0.0,0.0,0.0
1970-01-01 00:00:00,140,0.049416,0.030172,0.003907,0.0,0.0,0.0
