wavelength,lu,lu_std,ld,ld_std,ed,ed_std,lw,lw_std,rhow,rhow_std,rhow_nosc,rhow_nosc_std,cycle_id,platform_id,azimuth,timestamp,solar_zenith_angle
607.5,34.77701183569977,1.5250118745175871,34.84890287675679,0.051107227856059166,1253.8896227831867,2.8911316864772556,33.850114656544946,1.5250118745175867,0.07274542277513238,0.00284900505412548,0.0848107118807872,0.0038208834450574798,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
610.0,34.360510060995445,1.506762498340796,34.4138305981761,0.05386351480686739,1247.2166865822635,2.8628103509687715,33.4451847602774,1.5067624983407963,0.07217921136584407,0.0028238380987199666,0.08424450047149888,0.003795358133367813,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
612.5,33.9355708562161,1.4880085493551707,33.97460042499989,0.054462654366442716,1240.2562266551654,2.838341081015358,33.03192802395213,1.4880085493551707,0.07160521395952132,0.0027989392458000243,0.08367050306517615,0.0037691540075877722,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
615.0,33.56140299598857,1.4728600782621097,33.592640864504,0.05380741534056848,1233.5807085177703,2.8592267229226214,32.66791937133084,1.4728600782621093,0.07113096615060048,0.0027803690858256513,0.08319625525625529,0.0037509717602456118,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
617.5,33.23275753733978,1.4600839018103917,33.25355383348647,0.05279123942388082,1227.747526583965,2.8744903686157564,32.34829281389823,1.4600839018103917,0.07070837311712476,0.0027644303636932353,0.08277366222277958,0.003736101079604614,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
620.0,32.936893770736546,1.4473997042746916,32.92947810154124,0.05232825350510246,1221.372191444149,2.895999609100408,32.06104868398299,1.4473997042746927,0.0704015917661712,0.002751263312008597,0.08246688087182598,0.0037229767548423408,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
622.5,32.571449336665815,1.4306477918781237,32.51540100611712,0.054564786007114154,1214.0059028094124,2.9188110332557566,31.706617706865515,1.4306477918781237,0.06998478744467848,0.002730901479621255,0.08205007655033328,0.003702216424514676,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
625.0,32.16368889478883,1.4154924229687962,32.036498592165266,0.05605667564706427,1205.3975279551298,2.9399836877134717,31.31159491983384,1.4154924229687964,0.0695412135550933,0.0027178442247239427,0.08160650266074813,0.0036891568914652036,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
627.5,31.761740802646443,1.4022314883552633,31.553054091733372,0.056534609427353465,1196.1550791012057,2.8431911275234554,30.922505291136158,1.4022314883552633,0.06914986196507472,0.0027103343529316553,0.08121515107072953,0.0036828336220076797,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
630.0,31.44070980947661,1.3908326034102614,31.159614952475597,0.05478166063021028,1189.5352584655982,2.7735631168826136,30.611938834816648,1.39083260341026,0.0687816143141326,0.0026974581465178385,0.08084690341978741,0.0036732240243833015,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
632.5,31.260441510416015,1.3852197843144582,30.9285769641584,0.05634516420596613,1185.642717231681,2.7696170628013075,30.437815591754113,1.385219784314458,0.06858566624929661,0.002691738850985143,0.08065095535495141,0.003670411191130501,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
635.0,31.14795842645102,1.3836010702777268,30.75553000642853,0.05352612379023828,1184.6069285169735,2.8538558689325613,30.32993514155204,1.3836010702777268,0.06837008496719697,0.002686245299754533,0.0804353740728518,0.003669327650586336,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
637.5,31.07320988579472,1.3842127254046892,30.590886637172318,0.05085844460671283,1184.599403566097,2.7373364104964018,30.25956571937386,1.3842127254046883,0.06818397412934751,0.0026831569961674046,0.08024926323500232,0.003670973086805404,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
640.0,30.99771320233809,1.3844384879498812,30.367184826738264,0.05448427076029794,1182.8085190574536,2.823995586301139,30.190018967190436,1.3844384879498823,0.06812075983711155,0.002686239667641051,0.08018604894276636,0.0036771309244172322,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
642.5,30.856360880546546,1.381589141582302,30.017749709185708,0.05998711529284919,1178.7276567745178,2.9106170492383745,30.057960780881512,1.3815891415823018,0.06804640440419828,0.0026894574959625836,0.0801116935098531,0.0036822672926428764,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
645.0,30.644655197534963,1.3759028386302272,29.595659585725155,0.05827675840333756,1171.8546228454877,2.8247783399009485,29.857481682137678,1.3759028386302272,0.06797880789976642,0.0026952690905585664,0.08004409700542126,0.003688619872828714,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
647.5,30.343020894548864,1.365481421034151,29.121477823667366,0.05333188381560326,1163.427903191757,2.769386164090781,29.568459475986085,1.365481421034151,0.06777812432192813,0.0026936335864071676,0.07984341342758293,0.0036871957335436155,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
650.0,29.918284191831845,1.3472113183809449,28.61976788293913,0.05343433056912897,1152.752870771871,2.6821650206883056,29.15706705358858,1.3472113183809449,0.06739634571503732,0.0026760649212415498,0.07946163482069211,0.0036715494604013725,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
652.5,29.167426239599365,1.3198479507071303,28.030776816734843,0.052352099165981686,1141.740829507529,2.665620067315964,28.42187485013858,1.3198479507071303,0.06613980869132736,0.0026356222797400005,0.07820509779698216,0.003631668867956274,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
655.0,28.30371764597012,1.284737048001389,27.538571522164997,0.05523480731152753,1132.3637569876512,2.827908723828104,27.571257736052186,1.284737048001389,0.06442749885166664,0.0025666237567788653,0.07649278795732145,0.0035643320857714623,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
657.5,27.38792880435892,1.2461993015400958,27.202103167944973,0.05852952013425983,1133.6279476921334,2.769652335497802,26.66441814513918,1.246199301540096,0.06182909602092399,0.0024544209232440885,0.07389438512657881,0.0034535586200017845,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
660.0,26.489481705048615,1.210293785415337,27.097176767633,0.05656669355174962,1140.0011710186977,2.773056336575975,25.768761836253827,1.210293785415337,0.05894775450774709,0.002334199842984487,0.07101304361340191,0.0033353036484590074,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
662.5,25.583588585708206,1.178520279700872,27.11746804420586,0.05853275445755298,1147.7415207907318,2.802829447018931,24.862329017655636,1.178520279700872,0.05598776010283559,0.00222142485833566,0.06805304920849041,0.0032258401266724852,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
665.0,24.61320596188847,1.1429261313869206,27.022119249114343,0.06187140192778075,1152.326584118973,2.8146432740543843,23.89448244294823,1.1429261313869206,0.05307833557387973,0.0021082380721290416,0.06514362467953455,0.0031159641610682817,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
667.5,23.663502924718955,1.1069444420378876,26.824185558917907,0.06256823394063664,1151.764391613653,2.6482345861695467,22.95004396689708,1.1069444420378876,0.05053404983115064,0.0020090136462407367,0.06259933893680548,0.0030193401987068827,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
670.0,22.855898962968208,1.075863842543052,26.555628040109088,0.05434601194129717,1149.2906948887387,2.681881636140287,22.149582990608607,1.075863842543052,0.04848072202350504,0.0019309930097456502,0.060546011129159846,0.002940879934926599,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
672.5,22.45628293137299,1.0621108067203506,26.268695307045707,0.05631409042544231,1145.5277974049727,2.784263052726132,21.757598681074313,1.0621108067203504,0.04760459610451906,0.0019050269777405825,0.05966988521017386,0.002912822818660391,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
675.0,22.33853763998256,1.0589500329926116,25.997932423041913,0.058839862540077316,1141.1280352461638,2.739824804882637,21.64705503256746,1.0589500329926116,0.04753032765394711,0.0019101307106661309,0.059595616759601906,0.002915351775973679,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
677.5,22.433869320679353,1.063969845824876,25.68309034805951,0.05881958026265641,1132.680132884216,2.7386942628868876,21.75076075683781,1.063969845824876,0.04826244881420488,0.0019478914691857827,0.06032773791985969,0.0029510183451113624,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
680.0,22.664700180224802,1.0745997337911315,25.246187919463537,0.0529422327109854,1115.3856740003523,2.6914071115823512,21.993212172418087,1.0745997337911315,0.04988074032639296,0.0020240939711611227,0.061946029432047765,0.0030267150707789154,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
682.5,22.720201448067584,1.068283051957896,24.32595037954212,0.05104138931541964,1089.4476775796718,2.6288932882573484,22.07318955025267,1.068283051957896,0.051586202892957074,0.002082677489169717,0.06365149199861189,0.0030805611476829977,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
685.0,22.813352706224247,1.0652299700395624,23.321217060024935,0.05337139940369647,1055.190170502528,2.622343837051288,22.193064303348528,1.0652299700395624,0.05400959457416674,0.002178276535136789,0.06607488367982156,0.003171483910493788,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
687.5,23.111178281200548,1.0723022120404122,22.47752378754605,0.05716369664169288,1031.6879219211737,2.5835215912172327,22.513330094508913,1.0723022120404122,0.056490047183486276,0.002277203988663574,0.0685553362891411,0.0032652672190841368,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
690.0,23.79579705504794,1.0965961339918315,22.060330799117537,0.05984415220831593,1022.85045718725,2.492680726180167,23.209045200585333,1.0965961339918315,0.05921919376928837,0.002382797501891336,0.07128448287494317,0.003368095828961465,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
692.5,24.83874589667422,1.1405653104646962,22.270526260876988,0.057656573021842676,1026.0895779694013,2.428154794742102,24.246403347397916,1.1405653104646962,0.06217025939577609,0.0024988922718716597,0.0742355485014309,0.003492084587182217,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
695.0,25.602886118924122,1.1718947951504455,22.449618965265174,0.059434010099736534,1036.2787674602448,2.546746471015151,25.005780133533577,1.1718947951504455,0.06374247385500476,0.002555748499658253,0.07580776296065955,0.003552727504248506,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
697.5,26.03406155908659,1.189277703511685,22.5434383414875,0.061998939089460456,1043.029073470592,2.572881797832912,25.434460203455043,1.189277703511685,0.06454303884566497,0.002581414092075222,0.07660832795131978,0.0035820919967249525,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
700.0,26.086938361408958,1.1918494671640125,22.50528113517275,0.06205073411050867,1047.321538793803,2.6424152811580868,25.488351895888094,1.1918494671640125,0.0643907142344985,0.002569089475288504,0.07645600334015332,0.0035751251087031764,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
702.5,25.816717739536966,1.1820060674649424,22.450614908138647,0.05953553222518448,1049.7030203011102,2.7305098888977644,25.219585264456256,1.1820060674649424,0.06341288163512283,0.002526063745614108,0.07547817074077763,0.003537554437998311,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
705.0,25.38393706732086,1.1661645045901925,22.385493055646222,0.0640722720521823,1051.0478287334754,2.7496922144859055,24.78853667722401,1.1661645045901923,0.06202789922455554,0.0024703708650563897,0.07409318833021038,0.0034856775689384436,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
707.5,24.746622929412627,1.1412636243110696,22.259125850294968,0.06722892739585253,1047.6698677620352,2.7146667283627495,24.154583603696825,1.1412636243110696,0.060365793179829486,0.0024022272649916084,0.07243108228548428,0.003422247339807326,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
